Date,Close,High,Open,Low
2023.02.14 11:00:00,1.07446,1.0767,1.07615,1.07492
2023.02.14 12:00:00,1.07486,1.07664,1.07557,1.07614
2023.02.14 13:00:00,1.07514,1.07653,1.07552,1.07557
2023.02.14 14:00:00,1.07488,1.0768,1.07581,1.07552
2023.02.14 15:00:00,1.07184,1.08045,1.07607,1.0758
2023.02.14 16:00:00,1.07085,1.07695,1.07523,1.07611
2023.02.14 17:00:00,1.07068,1.0772,1.07158,1.07523
2023.02.14 18:00:00,1.07125,1.07341,1.07215,1.07159
2023.02.14 19:00:00,1.07192,1.07306,1.07279,1.07215
2023.02.14 20:00:00,1.07273,1.07454,1.07317,1.07277
2023.02.14 21:00:00,1.07233,1.07411,1.07394,1.07319
2023.02.14 22:00:00,1.07323,1.07424,1.0738,1.07391
2023.02.14 23:00:00,1.07348,1.07389,1.07352,1.07365
2023.02.15 00:00:00,1.0732,1.07366,1.07343,1.0736
2023.02.15 01:00:00,1.07332,1.07394,1.07351,1.07343
2023.02.15 02:00:00,1.07328,1.07402,1.07381,1.07352
2023.02.15 03:00:00,1.07359,1.07445,1.07397,1.07381
2023.02.15 04:00:00,1.07233,1.07399,1.07247,1.07397
2023.02.15 05:00:00,1.07171,1.07277,1.07181,1.07247
2023.02.15 06:00:00,1.07145,1.07208,1.07182,1.07181
2023.02.15 07:00:00,1.07137,1.07211,1.07152,1.0718
2023.02.15 08:00:00,1.07038,1.072,1.07074,1.07152
2023.02.15 09:00:00,1.07,1.07188,1.07082,1.07075
2023.02.15 10:00:00,1.07049,1.07287,1.07241,1.07084
2023.02.15 11:00:00,1.07166,1.07299,1.07258,1.07242
2023.02.15 12:00:00,1.07156,1.07331,1.07157,1.07257
2023.02.15 13:00:00,1.07103,1.07243,1.07111,1.07159
2023.02.15 14:00:00,1.06969,1.07181,1.06977,1.07111
2023.02.15 15:00:00,1.06741,1.0706,1.06831,1.06974
2023.02.15 16:00:00,1.06659,1.06892,1.06695,1.06831
2023.02.15 17:00:00,1.06652,1.06846,1.0676,1.06696
2023.02.15 18:00:00,1.06672,1.06878,1.06822,1.0676
2023.02.15 19:00:00,1.06619,1.06824,1.06669,1.06823
2023.02.15 20:00:00,1.06606,1.06783,1.06758,1.06669
2023.02.15 21:00:00,1.06755,1.06863,1.06809,1.06758
2023.02.15 22:00:00,1.06797,1.06903,1.06903,1.06812
2023.02.15 23:00:00,1.06864,1.06915,1.06864,1.06902
2023.02.16 00:00:00,1.06796,1.06899,1.06884,1.06862
2023.02.16 01:00:00,1.06864,1.06921,1.06911,1.06884
2023.02.16 02:00:00,1.06845,1.06955,1.06894,1.06913
2023.02.16 03:00:00,1.06869,1.0708,1.07049,1.06893
2023.02.16 04:00:00,1.07026,1.07149,1.07125,1.07048
2023.02.16 05:00:00,1.07076,1.07128,1.07095,1.07125
2023.02.16 06:00:00,1.07068,1.07105,1.07071,1.07095
2023.02.16 07:00:00,1.07011,1.07087,1.07055,1.07071
2023.02.16 08:00:00,1.06963,1.0709,1.06999,1.07054
2023.02.16 09:00:00,1.06969,1.07104,1.0709,1.06998
2023.02.16 10:00:00,1.07007,1.07225,1.07071,1.0709
2023.02.16 11:00:00,1.06891,1.07129,1.07005,1.0707
2023.02.16 12:00:00,1.07,1.07128,1.07064,1.07005
2023.02.16 13:00:00,1.06937,1.07068,1.07052,1.07063
2023.02.16 14:00:00,1.06918,1.07082,1.06939,1.07052
2023.02.16 15:00:00,1.06699,1.07089,1.06795,1.06939
2023.02.16 16:00:00,1.06597,1.06893,1.06629,1.06794
2023.02.16 17:00:00,1.06546,1.06827,1.06731,1.06627
